	at com.github.wenweihu86.raft.RaftNode.resetElectionTimer(RaftNode.java:437) ~[raft-java-core-1.9.0.jar:?]
	at com.github.wenweihu86.raft.RaftNode.stepDown(RaftNode.java:314) ~[raft-java-core-1.9.0.jar:?]
	at com.github.wenweihu86.raft.service.impl.RaftConsensusServiceImpl.appendEntries(RaftConsensusServiceImpl.java:113) ~[raft-java-core-1.9.0.jar:?]
	at jdk.internal.reflect.NativeMethodAccessorImpl.invoke0(Native Method) ~[?:?]
	at jdk.internal.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:77) ~[?:?]
	at jdk.internal.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) ~[?:?]
	at java.lang.reflect.Method.invoke(Method.java:568) ~[?:?]
	at com.baidu.brpc.interceptor.ServerInvokeInterceptor.aroundProcess(ServerInvokeInterceptor.java:32) [brpc-java-2.5.9.jar:?]
	at com.baidu.brpc.interceptor.DefaultInterceptorChain.intercept(DefaultInterceptorChain.java:43) [brpc-java-2.5.9.jar:?]
	at com.baidu.brpc.interceptor.AbstractInterceptor.aroundProcess(AbstractInterceptor.java:35) [brpc-java-2.5.9.jar:?]
	at com.baidu.brpc.interceptor.ServerTraceInterceptor.aroundProcess(ServerTraceInterceptor.java:40) [brpc-java-2.5.9.jar:?]
	at com.baidu.brpc.interceptor.DefaultInterceptorChain.intercept(DefaultInterceptorChain.java:43) [brpc-java-2.5.9.jar:?]
	at com.baidu.brpc.server.handler.ServerWorkTask.run(ServerWorkTask.java:79) [brpc-java-2.5.9.jar:?]
